time	V(N004,N003)
2.507304645408008e-003	9.775305e-001
2.512076222324968e-003	1.831110e+000
2.517647736362217e-003	2.661430e+000
2.520023282302602e-003	2.935425e+000
2.521774874565004e-003	3.083222e+000
2.523449575355991e-003	3.185370e+000
2.525281696168248e-003	3.256926e+000
2.526958681849675e-003	3.279702e+000
2.529686253741117e-003	3.223425e+000
2.534088351174978e-003	2.939444e+000
2.539515279924159e-003	2.308904e+000
2.545847345293075e-003	1.280025e+000
2.550536878940555e-003	3.783717e-001
2.554781268989128e-003	-4.819176e-001
2.559041348763679e-003	-1.301318e+000
2.564682711203064e-003	-2.248113e+000
